gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                17.043029,                63.018029,                63.514523,                12.297891,                 4.081502,                 2.920859,                 6.006988,                 2.489300,                 9.368132,                 7.390292,                 6.984331,                 6.864832,                 3.310227,                 8.411241,                19.176283,                 0.936556,                 8.396751,                 2.411576,                 7.364991,                 0.005774,                 0.005074,                 0.004023,                 0.001562,                 0.007452,                 0.004703,               936.417438
                17.761389,                32.128576,               142.815304,                10.833633,                 7.045174,                 2.328125,                 4.097066,                 5.321253,                 3.638366,                 3.504589,                 3.888940,                 9.696785,                 4.298117,                 2.154601,                18.740346,                 1.216259,                 5.290696,                 8.511420,                 8.177100,                 0.006509,                 0.003003,                 0.007162,                 0.004301,                 0.002843,                 0.003824,               934.564248
                63.736389,                78.103576,                67.065304,                 4.586133,                 2.830174,                 6.543125,                 8.312066,                 9.536253,                 7.853366,                 7.719589,                 8.103940,                 5.481785,                 8.513117,                 6.369601,                46.640346,                 0.553259,                 9.708196,                 4.221420,                15.602100,                 0.002234,                 0.007278,                 0.002887,                 0.008576,                 0.007118,                 0.007574,               955.810738
                86.723889,                55.116076,                29.190304,                13.957383,                 4.937674,                 4.435625,                 6.204566,                 3.213753,                 1.530866,                 9.827089,                 1.781440,                 3.374285,                 2.190617,                 8.477101,                32.690346,                 0.221759,                 7.499446,                 6.366420,                11.889600,                 0.008646,                 0.009416,                 0.009300,                 0.006438,                 0.004981,                 0.001949,               946.238633
                40.748889,               101.091076,               104.940304,                 7.709883,                 9.152674,                 8.650625,                 1.989566,                 7.428753,                 5.745866,                 5.612089,                 5.996440,                 7.589285,                 6.405617,                 4.262101,                60.590346,                 0.884759,                 3.081946,                 2.076420,                 4.464600,                 0.004371,                 0.005141,                 0.005025,                 0.002163,                 0.009256,                 0.005699,               946.605053
                52.242639,                43.622326,                86.002804,                 9.271758,                 3.883924,                 9.704375,                 5.150816,                 8.482503,                 4.692116,                 8.773339,                 2.835190,                 4.428035,                 5.351867,                 5.315851,                39.665346,                 1.382009,                 8.603821,                 7.438920,                 2.608350,                 0.005440,                 0.008347,                 0.001819,                 0.009645,                 0.008187,                 0.004761,               941.051076
                98.217639,                89.597326,               161.752804,                 3.024258,                 8.098924,                 5.489375,                 9.365816,                 4.267503,                 8.907116,                 4.558339,                 7.050190,                 8.643035,                 9.566867,                 9.530851,                11.765346,                 0.719009,                 4.186321,                 3.148920,                10.033350,                 0.009715,                 0.004072,                 0.006094,                 0.005370,                 0.003912,                 0.008511,               945.842416
                75.230139,                20.634826,               123.877804,                12.395508,                 5.991424,                 7.596875,                 7.258316,                 6.375003,                 2.584616,                 2.450839,                 4.942690,                 6.535535,                 3.244367,                 7.423351,                53.615346,                 0.387509,                 1.977571,                 9.583920,                13.745850,                 0.003303,                 0.001934,                 0.003956,                 0.003232,                 0.006050,                 0.002886,               961.954447
                29.255139,                66.609826,                48.127804,                 6.148008,                 1.776424,                 3.381875,                 3.043316,                 2.160003,                 6.799616,                 6.665839,                 9.157690,                 2.320535,                 7.459367,                 3.208351,                25.715346,                 1.050509,                 6.395071,                 5.293920,                 6.320850,                 0.007578,                 0.006209,                 0.008231,                 0.007507,                 0.001775,                 0.006636,               932.914692
                35.002014,                60.862951,               114.409054,                 2.243321,                 3.357049,                 2.855000,                 3.570191,                 5.848128,                 5.218991,                 2.977714,                 9.684565,                 2.847410,                 7.986242,                 6.896476,                15.252846,                 0.801884,                 4.738508,                 7.975170,                 9.105225,                 0.003837,                 0.008881,                 0.009834,                 0.003766,                 0.005515,                 0.002417,               929.057198
