gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                 0.407474,                 0.607474,                 0.901028,                 0.207023,                 0.526999,                -0.127073,                 0.020362,                -0.146550,                 0.179847,                 0.084000,                 0.064737,                 0.062067,                -0.109598,                 0.137443,                -0.129202,                 0.015854,                 0.117492,                -0.152239,                -0.067283,                 0.004470,                -0.028294,                -0.077458,                -0.192582,                 0.082985,                -0.014860,              5749.962952
                 0.410599,                 0.473099,                 1.110403,                 0.160148,                 0.667624,                -0.155198,                -0.070263,                -0.012175,                -0.092028,                -0.100375,                -0.082138,                 0.196442,                -0.062723,                -0.159432,                -0.132327,                 0.100229,                -0.023133,                 0.132136,                -0.045408,                 0.038845,                -0.125169,                 0.069417,                -0.064457,                -0.132640,                -0.061735,              5687.382240
                 0.610599,                 0.673099,                 0.910403,                -0.039852,                 0.467624,                 0.044802,                 0.129737,                 0.187825,                 0.107972,                 0.099625,                 0.117862,                -0.003558,                 0.137277,                 0.040568,                 0.067673,                -0.099771,                 0.176867,                -0.067864,                 0.154592,                -0.161155,                 0.074831,                -0.130583,                 0.135543,                 0.067360,                 0.138265,              5653.588019
                 0.710599,                 0.573099,                 0.810403,                 0.260148,                 0.567624,                -0.055198,                 0.029737,                -0.112175,                -0.192028,                 0.199625,                -0.182138,                -0.103558,                -0.162723,                 0.140568,                -0.032327,                -0.199771,                 0.076867,                 0.032136,                 0.054592,                 0.138845,                 0.174831,                 0.169417,                 0.035543,                -0.032640,                -0.161735,              5914.134209
                 0.510599,                 0.773099,                 1.010403,                 0.060148,                 0.767624,                 0.144802,                -0.170263,                 0.087825,                 0.007972,                -0.000375,                 0.017862,                 0.096442,                 0.037277,                -0.059432,                 0.167673,                 0.000229,                -0.123133,                -0.167864,                -0.145408,                -0.061155,                -0.025169,                -0.030583,                -0.164457,                 0.167360,                 0.038265,              5655.019703
                 0.560599,                 0.523099,                 0.960403,                 0.110148,                 0.517624,                 0.194802,                -0.020263,                 0.137825,                -0.042028,                 0.149625,                -0.132138,                -0.053558,                -0.012723,                -0.009432,                 0.017673,                 0.150229,                 0.126867,                 0.082136,                -0.195408,                -0.011155,                 0.124831,                -0.180583,                 0.185543,                 0.117360,                -0.011735,              5693.203801
                 0.760599,                 0.723099,                 1.160403,                -0.089852,                 0.717624,                -0.005198,                 0.179737,                -0.062175,                 0.157972,                -0.050375,                 0.067862,                 0.146442,                 0.187277,                 0.190568,                -0.182327,                -0.049771,                -0.073133,                -0.117864,                 0.004592,                 0.188845,                -0.075169,                 0.019417,                -0.014457,                -0.082640,                 0.188265,              5639.277920
                 0.660599,                 0.423099,                 1.060403,                 0.210148,                 0.617624,                 0.094802,                 0.079737,                 0.037825,                -0.142028,                -0.150375,                -0.032138,                 0.046442,                -0.112723,                 0.090568,                 0.117673,                -0.149771,                -0.173133,                 0.182136,                 0.104592,                -0.111155,                -0.175169,                -0.080583,                -0.114457,                 0.017360,                -0.111735,              5752.449788
                 0.460599,                 0.623099,                 0.860403,                 0.010148,                 0.417624,                -0.105198,                -0.120263,                -0.162175,                 0.057972,                 0.049625,                 0.167862,                -0.153558,                 0.087277,                -0.109432,                -0.082327,                 0.050229,                 0.026867,                -0.017864,                -0.095408,                 0.088845,                 0.024831,                 0.119417,                 0.085543,                -0.182640,                 0.088265,              5644.804096
                 0.485599,                 0.598099,                 1.035403,                -0.114852,                 0.492624,                -0.130198,                -0.095263,                 0.012825,                -0.017028,                -0.125375,                 0.192862,                -0.128558,                 0.112277,                 0.065568,                -0.157327,                -0.024771,                -0.048133,                 0.107136,                -0.020408,                -0.086155,                 0.149831,                 0.194417,                -0.089457,                -0.007640,                -0.136735,              5639.158967
                 0.685599,                 0.798099,                 0.835403,                 0.085148,                 0.692624,                 0.069802,                 0.104737,                -0.187175,                 0.182972,                 0.074625,                -0.007138,                 0.071442,                -0.087723,                -0.134432,                 0.042673,                 0.175229,                 0.151867,                -0.092864,                 0.179592,                 0.113845,                -0.050169,                -0.005583,                 0.110543,                 0.192360,                 0.063265,              5672.113887
                 0.785599,                 0.498099,                 0.935403,                -0.014852,                 0.792624,                -0.030198,                 0.004737,                 0.112825,                -0.117028,                 0.174625,                 0.092862,                 0.171442,                 0.012277,                -0.034432,                -0.057327,                 0.075229,                 0.051867,                 0.007136,                 0.079592,                -0.186155,                -0.150169,                 0.094417,                 0.010543,                -0.107640,                -0.036735,              5648.309275
