gwp_phs,relative,Uniform,0.75
gwp_ts_dhn_seasonal,relative,Uniform,0.75
gwp_h2_storage,relative,Uniform,0.75
gwp_ts_dec_hp_elec,relative,Uniform,0.75
gwp_batt_li,relative,Uniform,0.75
gwp_bev_batt,relative,Uniform,0.75
gwp_phev_batt,relative,Uniform,0.75
gwp_ts_dec_direct_elec,relative,Uniform,0.75
gwp_ts_dec_thhp_gas,relative,Uniform,0.75
gwp_ts_dec_cogen_gas,relative,Uniform,0.75
gwp_ts_dec_cogen_oil,relative,Uniform,0.75
gwp_ts_dec_advcogen_gas,relative,Uniform,0.75
gwp_ts_dec_advcogen_h2,relative,Uniform,0.75
gwp_ts_dec_boiler_gas,relative,Uniform,0.75
gwp_ts_dec_boiler_wood,relative,Uniform,0.75
gwp_ts_dec_boiler_oil,relative,Uniform,0.75
gwp_ts_dhn_daily,relative,Uniform,0.75
gwp_ts_high_temp,relative,Uniform,0.75
gwp_gas_storage,relative,Uniform,0.75
gwp_diesel_storage,relative,Uniform,0.75
gwp_gasoline_storage,relative,Uniform,0.75
gwp_lfo_storage,relative,Uniform,0.75
gwp_ammonia_storage,relative,Uniform,0.75
gwp_methanol_storage,relative,Uniform,0.75
gwp_co2_storage,relative,Uniform,0.75
