gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                61.107474,                61.307474,               100.901028,                 8.457023,                63.786999,                -0.017073,                 0.259362,                 0.051450,                 0.427847,                 0.091000,                 0.071737,                 0.329067,                -0.069598,                 0.632443,                -0.046002,                 0.099054,                 0.513492,                 0.003761,                 0.081717,                 0.153470,                 0.120706,                 0.071542,                -0.043582,                 0.231985,                 0.114140,              4056.915093
                61.110599,                61.173099,               101.110403,                 8.410148,                63.927624,                -0.045198,                 0.168737,                 0.185825,                 0.155972,                -0.093375,                -0.075138,                 0.463442,                -0.022723,                 0.335568,                -0.049127,                 0.183429,                 0.372867,                 0.288136,                 0.103592,                 0.187845,                 0.023831,                 0.218417,                 0.084543,                 0.016360,                 0.067265,              4070.915359
                61.310599,                61.373099,               100.910403,                 8.210148,                63.727624,                 0.154802,                 0.368737,                 0.385825,                 0.355972,                 0.106625,                 0.124862,                 0.263442,                 0.177277,                 0.535568,                 0.150873,                -0.016571,                 0.572867,                 0.088136,                 0.303592,                -0.012155,                 0.223831,                 0.018417,                 0.284543,                 0.216360,                 0.267265,              4060.393233
                61.410599,                61.273099,               100.810403,                 8.510148,                63.827624,                 0.054802,                 0.268737,                 0.085825,                 0.055972,                 0.206625,                -0.175138,                 0.163442,                -0.122723,                 0.635568,                 0.050873,                -0.116571,                 0.472867,                 0.188136,                 0.203592,                 0.287845,                 0.323831,                 0.318417,                 0.184543,                 0.116360,                -0.032735,              4065.084573
                61.210599,                61.473099,               101.010403,                 8.310148,                64.027624,                 0.254802,                 0.068737,                 0.285825,                 0.255972,                 0.006625,                 0.024862,                 0.363442,                 0.077277,                 0.435568,                 0.250873,                 0.083429,                 0.272867,                -0.011864,                 0.003592,                 0.087845,                 0.123831,                 0.118417,                -0.015457,                 0.316360,                 0.167265,              4055.908549
                61.260599,                61.223099,               100.960403,                 8.360148,                63.777624,                 0.304802,                 0.218737,                 0.335825,                 0.205972,                 0.156625,                -0.125138,                 0.213442,                 0.027277,                 0.485568,                 0.100873,                 0.233429,                 0.522867,                 0.238136,                -0.046408,                 0.137845,                 0.273831,                -0.031583,                 0.334543,                 0.266360,                 0.117265,              4068.829778
                61.460599,                61.423099,               101.160403,                 8.160148,                63.977624,                 0.104802,                 0.418737,                 0.135825,                 0.405972,                -0.043375,                 0.074862,                 0.413442,                 0.227277,                 0.685568,                -0.099127,                 0.033429,                 0.322867,                 0.038136,                 0.153592,                 0.337845,                 0.073831,                 0.168417,                 0.134543,                 0.066360,                 0.317265,              4057.978177
                61.360599,                61.123099,               101.060403,                 8.460148,                63.877624,                 0.204802,                 0.318737,                 0.235825,                 0.105972,                -0.143375,                -0.025138,                 0.313442,                -0.072723,                 0.585568,                 0.200873,                -0.066571,                 0.222867,                 0.338136,                 0.253592,                 0.037845,                -0.026169,                 0.068417,                 0.034543,                 0.166360,                 0.017265,              4072.168180
                61.160599,                61.323099,               100.860403,                 8.260148,                63.677624,                 0.004802,                 0.118737,                 0.035825,                 0.305972,                 0.056625,                 0.174862,                 0.113442,                 0.127277,                 0.385568,                 0.000873,                 0.133429,                 0.422867,                 0.138136,                 0.053592,                 0.237845,                 0.173831,                 0.268417,                 0.234543,                -0.033640,                 0.217265,              4063.374687
                61.185599,                61.298099,               101.035403,                 8.135148,                63.752624,                -0.020198,                 0.143737,                 0.210825,                 0.230972,                -0.118375,                 0.199862,                 0.138442,                 0.152277,                 0.560568,                -0.074127,                 0.058429,                 0.347867,                 0.263136,                 0.128592,                 0.062845,                 0.298831,                 0.343417,                 0.059543,                 0.141360,                -0.007735,              4068.914766
